세부 페이지,RQ-ID,설계ID,기능이름,1Depth,2Depth,3Depth,기능설명,입력,예외처리
,,FS-QUIZ-PLAY-06,퀴즈 응시 중 이탈 횟수·시간 로그 및 관리자 통계 연동,,,이탈 로그/통계,"- 퀴즈 세션마다 탭/창 이탈 발생 횟수와 이탈 누적 시간을 기록하여, 퀴즈 응시 로그에 함께 저장한다.
- 이탈 정보는 퀴즈별로 '이탈 횟수', '총 이탈 시간(초)', '마지막 이탈 시각' 등 필드로 저장되며, 개별 응시 결과 상세 화면과 관리자 대시보드(퀴즈 통계)에서 조회할 수 있도록 한다.
- 관리자 대시보드에서는 부서별/퀴즈별 평균 이탈 횟수·시간, 이탈 기준 초과 응시자 비율 등의 통계를 제공하여, 응시 집중도와 부정행위 의심 패턴을 간접적으로 파악할 수 있다.
- 저장되는 이탈 로그는 응시자 행동 분석과 교육 설계 개선(예: 난이도 조정, 풀이 시간 조정)에도 활용할 수 있도록 구조화한다.","- 퀴즈 세션ID, 사용자ID, 부서 정보
- 이탈 감지 이벤트(발생 시각, 복귀 시각)
- 누적 이탈 카운트, 누적 이탈 시간(초)
- 관리자 대시보드 통계 조회 조건(기간, 부서, 퀴즈ID 등)","- 로그 저장 실패 시 퀴즈 점수·제출 결과에는 영향을 주지 않고, 이탈 정보만 누락된 상태로 처리하며 에러 로그를 남긴다.
- 통계 조회 시 데이터가 부족하거나 편향된 경우(응시자 수가 매우 적은 경우 등) 해당 지표에 '표본 부족' 표시를 추가하여 오해를 줄인다.
- 이탈 로그는 개인정보보호 및 사내 보안 정책에 따라 보존 기간을 설정하고, 기간 경과 후에는 집계값만 남기고 상세 로그는 삭제하거나 비식별 처리한다."
퀴즈 결과/채점,,FS-QUIZ-RESULT-01,퀴즈 제출 및 채점,,퀴즈 결과,채점 처리,"- 사용자가 “제출하기”를 누르면 서버에 응답을 전송하고 점수를 계산한다.
 - 정답 번호는 서버 측에만 존재하며 응답 데이터와 함께 저장하지 않는다.","- 응답 목록(문항ID, 선택 보기 번호)
 - 퀴즈ID","- 채점 중 오류 시 “채점에 실패했습니다” 안내 및 재시도 기능 제공.
 - 중복 제출은 첫 결과만 인정하고 나머지는 무시."
,,FS-QUIZ-RESULT-02,결과 화면 표시(점수/통과 여부),,,결과 표시,"- 총점, 통과 여부, 틀린 문항 수 등을 요약 카드로 보여준다.
 - 오답노트로 이동하는 버튼을 제공한다.","- 채점 결과(점수, 통과 여부, 틀린 문항ID 리스트)",- 결과 데이터를 가져오지 못하면 “결과를 불러오지 못했습니다” 안내 후 홈으로 이동 버튼 제공.
,,FS-QUIZ-RESULT-03,재응시 조건 확인,,,재응시 제어,"- 총점, 통과 여부, 틀린 문항 수 등을 요약 카드로 보여준다.
 - 오답노트로 이동하는 버튼을 제공한다.","- 사용자 응시 이력(횟수, 점수 기록)
 - 최대 응시 횟수",- 허용 횟수를 초과한 경우 버튼 비활성화 및 안내 문구 표시.
,,FS-QUIZ-REVIEW-02,오답 문항 상세/해설 표시,,오답 노트,오답 상세,"- 틀린 문항의 질문과 선택지, 사용자가 선택한 보기, 해설을 보여준다.
 - 정답 번호는 노출하지 않고 해설 텍스트로만 정답을 유추할 수 있게 한다.","- 특정 응시ID의 오답 목록
 - 각 문항의 해설 텍스트",- 오답 데이터 로딩 실패 시 해당 문항을 건너뛰고 나머지만 표시하며 로그에 기록.
,,FS-QUIZ-REVIEW-03,정답 비노출 제약 처리,,,정답 보호,"- 정답 번호/정답 문장은 API 응답에 포함하지 않는다.
 - 해설은 개념 설명 위주로 구성하여 족보 생성이 어렵게 한다.",- 서버 측 정책 설정(정답 비노출 여부),"- 만약 잘못된 API 설계로 정답 정보가 내려오는 경우, 프론트에서 해당 정보는 숨기고 알림 로그를 남긴다."
신고 작성,,FS-REP-FORM-01,신고 유형 선택 및 폼 구성,신고,신고 작성,유형/폼,"- 신고 유형(직장내 괴롭힘 / 성희롱 / 욕설, 혐오발언 / 보안 위반 / 보안 사고 / etc)을 선택하는 드롭다운을 제공한다.
- 상세 내용 입력창을 제공한다.","- 신고 유형 코드
 - 신고 작성 기본 필드(제목, 내용 등)","- 잘못된 유형 값 입력 시 기본 공통 폼으로 폴백.
 - 필수 항목 누락 시 제출 막고 에러 메시지 표시."
,,FS-REP-FORM-02,익명성/개인정보 입력 안내,,,제출," - ""허위 신고 시 불이익 발생"", ""제출 후 검토가 진행됩니다."" 문구를 화면에 보여준다.
- 취소 버튼과 제출하기 버튼을 제공한다.","- 사용자가 선택한 익명 여부
 - 동의 체크박스 상태","- 동의하지 않은 경우 제출 버튼 비활성화 및 안내 문구 표시.
 - 익명 신고 시 신원 정보 필드는 서버에 저장하지 않음."
,,FS-REP-FORM-03,신고 제출 및 접수 번호 발급,,,제출/접수,"- 신고 내용을 서버로 전송하고, 저장 후 접수 번호를 발급해 화면에 보여준다.
- 접수 완료 안내와 함께 추후 진행 안내 문구를 표시한다.","- 신고 폼 데이터(제목, 내용, 유형, 익명 여부, 첨부파일 메타 등)","- 저장 실패 시 “신고 접수에 실패했습니다” 메시지와 재시도 옵션 제공.
 - 중복 제출 방지를 위해 버튼 잠시 비활성화."
,,FS-REP-FORM-04,신고 첨부 파일 업로드/검증,,,첨부 파일,"- 증거 자료(이미지, PDF 등) 업로드를 지원하되 용량/확장자를 제한한다.
 - 악성 파일 확장자는 차단한다.","- 사용자가 업로드한 파일(이름, 크기, MIME 타입)","- 허용되지 않는 파일 업로드 시 즉시 삭제하고 안내 메시지 표시.
 - 바이러스 스캔(있을 경우) 실패 시 업로드 거부."
신고 대시보드,,FS-REP-DASH-01,신고 리스트 조회/필터,,신고 대시보드,리스트/필터,"- 신고 담당자/관리자에게 신고 리스트(상태, 유형, 발생 부서, 접수일)를 테이블로 보여준다.
 - 상태/유형/기간별 필터를 제공한다.","- 필터 값(상태, 유형, 기간)
 - 신고 리스트 API 응답","- 데이터가 없으면 “해당 조건에 해당하는 신고가 없습니다” 표시.
 - 페이징 오류 시 1페이지 기준으로만 표시."
,,FS-REP-DASH-02,신고 상세 보기 및 처리 메모,,,상세/메모,"- 리스트에서 행 클릭 시 신고 상세 내용을 조회한다.
 - 처리 담당자가 내부 메모를 남기고 업데이트할 수 있다.","- 신고ID
 - 상세 신고 데이터(내용, 첨부 링크 등)",- 상세 조회 실패 시 “신고 상세를 불러오지 못했습니다” 토스트 표시 후 리스트 유지.
,,FS-REP-DASH-03,신고 상태 변경(접수/조사중/종결),,,상태 변경,"- 처리 담당자가 상태를 접수/조사중/종결 등으로 변경할 수 있다.
 - 상태 변경 시 변경자, 변경시간을 함께 기록한다.","- 신고ID
 - 변경할 상태 값
 - 처리자ID","- 권한 없는 사용자가 상태 변경을 시도하면 “권한 없음” 메시지 표시 및 로그 기록.
 - 상태 전이 규칙을 위반하는 변경은 서버에서 막는다."
,,FS-REP-DASH-04,처리 이력 로그/감사 정보 관리,,,이력 관리,"- 신고 건별로 상태 변경, 메모 추가 등 모든 이력을 타임라인 형태로 조회할 수 있다.
 - 감사 목적을 위해 수정/삭제 이력도 남긴다.","- 신고ID
 - 이력 조회 API 응답","- 이력이 없으면 “등록된 이력이 없습니다” 표시.
 - 과거 이력 조회 실패 시, 현재 상태만 보여주고 오류는 로그에 남김."
관리자 교육 대시보드,,FS-ADMIN-EDU-DASH-01,관리자 교육 대시보드 진입 및 권한 검증,관리자,교육 대시보드,진입/권한,"- 관리자 메뉴에서 “교육 대시보드” 선택 시 화면에 진입한다.
 - 사용자 역할이 관리자/교육담당자인지 확인하고 아니면 접근을 차단한다.","- 메뉴 클릭 이벤트
 - 사용자 역할 정보","- 권한이 없으면 “접근 권한이 없습니다” 안내 후 메인 화면으로 리다이렉트.
 - 권한 검증 오류는 로그로 남기고 일반 에러 메시지 표시."
,,FS-ADMIN-EDU-DASH-02,기간/부서/교육유형 필터 초기값 설정,,,필터 초기값,"- 기본값을 “올해 전체 / 전체 부서 / 교육유형 전체(4대+직무)”로 설정한다.
 - 화면 상단에 필터 컴포넌트를 배치한다.","- 기본 기간 값
 - 부서 목록
 - 교육유형 코드(4대, 직무)
- 교육 이력은 3년까지 보관된다.","- 부서 목록 로딩 실패 시 부서 필터를 숨기거나 “전체”만 제공.
 - 잘못된 날짜 범위는 자동 수정 후 안내."
,,FS-ADMIN-EDU-DASH-03,4대 교육 이수 요약 카드,,,4대교육 요약 카드,"- 4대 교육별 이수율/이수자 수/미이수자 수를 카드 형태로 보여준다.
 - 카드 클릭 시 해당 과목의 상세 통계 영역으로 스크롤 이동한다.",- 과목별 이수 통계 API 응답,"- 통계 API 오류 시 카드 영역에만 “불러오기 실패” 문구 표시, 나머지 위젯은 정상 동작."
,,FS-ADMIN-EDU-DASH-04,4대 교육 과목별/부서별 이수 현황 테이블/차트,,,4대교육 상세 통계,"- 선택된 기간/부서 기준으로 과목별·부서별 이수율을 테이블과 차트로 보여준다.
 - 특정 셀 클릭 시 해당 부서/과목 상세로 드릴다운(필요 시).",- 부서/과목별 이수 통계 데이터,"- 데이터가 많아 조회가 느릴 경우 로딩 스피너와 “조회 중” 메시지 출력.
 - 해당 조건 데이터가 없으면 빈 테이블과 안내 문구 표시."
,,FS-ADMIN-EDU-DASH-05,부서별 직무교육 현황 요약 카드,,,직무교육 요약 카드,"- 부서별 직무교육 등록 개수와 필수/선택 비율을 요약 카드로 보여준다.
 - 평균 직무교육 수/부서 등의 지표를 함께 제공한다.","- 직무교육 통계 API 응답(부서별 개수, 필수/선택 비율)",- 직무교육 데이터가 없는 경우 “등록된 직무교육이 없습니다” 안내.
,,FS-ADMIN-EDU-DASH-06,직무교육 목록 및 이수 현황 테이블,,,직무교육 상세 테이블,"- 선택된 부서 기준으로 직무교육 리스트(제목, 필수/선택, 대상자 수, 이수자 수, 이수율, 업데이트 일자)를 보여준다.
 - 행 클릭 시 해당 직무교육 상세로 이동한다.",- 직무교육 통계 데이터,"- 페이징 실패 시 1페이지 기준으로만 표시.
 - 상세 화면 이동 오류 시 토스트 알림 후 대시보드 유지."
,,FS-ADMIN-EDU-DASH-08,필터 변경 시 통계 재조회,,,필터 조회,"- 기간/부서/유형 필터 변경 시 통계 API를 다시 호출하여 화면을 갱신한다.
 - 조회 중에는 각 위젯에 로딩 인디케이터를 표시한다.","- 필터 값(기간, 부서, 교육유형)",- 일부 위젯만 실패 시 해당 위젯에만 오류 메시지 표시.
,,FS-ADMIN-EDU-DASH-09,권한에 따른 대시보드 노출 범위 제어,,,권한 기반 노출,"- 상위 관리자는 전사 통계를, 부서 교육담당자는 자기 부서 통계만 볼 수 있다.
 - 필터에서 선택 가능한 부서 목록도 권한에 따라 제한한다.","- 사용자 역할/부서 정보
 - 권한 설정 테이블","- 권한 설정이 모호하면 최소 권한(자기 부서만)으로 폴백.
 - 권한 오류는 로그에 남기고 사용자에게는 일반 메시지만 노출."
,,FS-ADMIN-EDU-DASH-10,대시보드 데이터 로딩/오류 상태 표시,,,로딩/오류 표시,"- 초기 로딩 중 스켈레톤 또는 스피너 표시.
 - 치명적 오류(인증 등)는 상단 글로벌 배너로 안내한다.","- 통계 API 응답 코드
 - 인증/인가 결과","- 토큰 만료 시 로그인 페이지로 리다이렉트.
 - 알 수 없는 오류는 공통 에러 문구로 표시."
,,FS-ADMIN-EDU-DASH-11,대시보드 데이터 다운로드/내보내기,,,내보내기,"- 현재 필터 조건의 통계를 CSV/엑셀로 다운로드할 수 있다.
 - 다운로드 파일에 필터 조건을 헤더로 포함한다.","- 다운로드 버튼 클릭 이벤트
 - 필터 값
 - export API 응답(파일 스트림/URL)","- export 실패 시 “다운로드에 실패했습니다” 안내.
 - 데이터량 과다 시 서버에서 제한하고 범위 축소 안내 및 로그 저장"
,,FS-ADMIN-EDU-DASH-12,교육 관리,,,교육 신규 등록,"- 관리자가 새 교육(4대 교육 또는 직무교육)을 직접 등록할 수 있다.
- 제목, 설명, 교육유형, 필수 여부, 대상 부서, 예상 시청 시간, 대표 영상 여부 등을 입력한다.
- 필요 시 관련 문서를 업로드하면 RAG/영상 생성 파이프라인으로 전달할 수 있다.","- 교육유형: MANDATORY(4대) / JOB(직무)
- 교육 제목
- 교육 설명
- 필수/선택 여부
- 대상 부서직무
- 태그/카테고리",
,,FS-ADMIN-EDU-DASH-13,교육 관리,,,교육 신규 수정,"- 이미 등록된 교육의 정보를 수정할 수 있다.
- 수정 가능한 항목: 제목, 설명, 필수 여부, 대상 부서",- 수정된 교육 정보 전체 또는 일부,
,,FS-ADMIN-EDU-DASH-14,교육 관리,,,교육 신규 삭제,"- 관리자가 특정 교육을 삭제할 수 있다.
- 이수 기록은 유지하되, 교육 목록에서는 더 이상 노출되지 않는다.
- 삭제된 교육은 삭제 날짜 플레그만 남고 데이터에 삭제되지않음 (soft delete)",- 성공 여부,
관리자 대시보드 - FAQ 관리(백엔드 배치 포함),,FS-ADMIN-FAQ-01,FAQ 후보 자동 선정 배치,FAQ 관리,로그 기반 선정,자동 갱신,"FAQ 후보는 챗봇 로그(비식별 처리된 질문 텍스트)를 기반으로 주기적으로 자동 선정한다. 일정 기간(예: 최근 30일) 동안의 질문 로그에서 Out-of-scope 및 민감 카테고리(PII 관련, 신고 내용 등)를 제외한 뒤, 도메인별로 빈도 수가 높은 질문을 집계한다. 집계 결과 중 상위 N개(예: 상위 20개)를 FAQ 후보 풀로 저장하고, 이 중 전 직원 공통 질문 기준에서 가장 대표적인 4개를 실제 노출 FAQ로 선택한다. 이 과정은 백엔드 배치 또는 관리자 화면의 “FAQ 갱신” 버튼으로 트리거한다.","비식별 질문 로그(질문 텍스트, 도메인, 빈도, 기간), OOS/민감 라벨 정보","로그 집계 또는 배치 실행 실패 시 기존 FAQ 구성을 유지하고, 관리자에게만 상태(갱신 실패)를 표시한다. OOS/민감 필터에 오류가 있을 경우 과도한 필터로 인한 FAQ 부족이 발생할 수 있으며, 이 경우 최근 빈도 상위 질문 중 안전한 것만 임시로 채우거나 FAQ 개수를 줄인 상태로 노출한다."
영상 생성/관리,,FS-VIDEO-CREATE-01,"교육 대상 정보 입력(부서, 교육유형 등)",영상,영상 생성,"교육 대상 정보 입력
(부서, 교육유형 등)","- 시스템은 로그인 사용자의 creator_type 및 dept_scope 정보를 조회한다.
- creator_type == DEPT_CREATOR 인 경우 “교육 대상 부서” 선택 필드에는 dept_scope에 포함된 부서만 노출한다.
- creator_type == GLOBAL_CREATOR 인 경우 전체 부서 목록 및 4대 교육 목록 및 “전사 공통” 옵션을 노출한다.
- 사용자가 UI를 통해 선택한 부서 정보는 서버 전송 시에도 동일하게 전달되어야 한다.","- 사용자 권한(dept_scope)
- 부서 정보","- F-SEC-VID-DEPT-01 (서버 검증)
- 서버는 요청 바디의 target_dept_code가 로그인 사용자 권한 범위(dept_scope)에 포함되는지 검증한다.
- 포함되지 않을 경우 HTTP 403을 반환하고, 보안 로그에 “부서 범위 위반”을 기록한다. (BR-VID-DEPT-01 참조)"
,,FS-VIDEO-CREATE-SEC-01,교육영상 생성 요청 권한 검증,,,백엔드 API /api/videos (POST),"1. VIDEO_CREATOR 롤인지 확인, 아니면 403.
2. creator_type == DEPT_CREATOR 인 경우:
 - training_type != JOB 이면 403.
 - target_dept_code가 dept_scope에 포함되지 않으면 403.
3. creator_type == GLOBAL_CREATOR 인 경우:
 - 정책에 맞는 training_type/target_dept_code 조합인지 검증.
4. 검증 통과 시 DB에 교육영상 레코드 생성 및 후속 파이프라인 호출.","- 로그인 사용자 정보: role, creator_type, dept_code, dept_scope
- 요청 바디: training_type, target_dept_code, 기타 메타데이터",
,,FS-VIDEO-CREATE-02,영상 생성 대상 선택(4대/직무교육),,,교육 선택,"- 4대 교육 또는 직무교육 중 어느 교육을 영상으로 생성할지 선택한다.
 - 직무교육의 경우 특정 training_id를 지정한다.","- 교육 목록(4대, 직무)
 - 선택한 교육ID",- 존재하지 않는 교육ID 선택 시 에러 메시지 표시 후 선택 화면 유지.
,,FS-VIDEO-CREATE-03,원본 문서 업로드/검증,,,문서 업로드,"- PPT/PDF/DOCX/HWP 등 허용된 형식의 교육 자료를 업로드한다.
 - 파일 크기/페이지 수 제한을 검증한다.","- 업로드 파일(이름, 크기, 타입)
 - 허용 포맷/용량 설정","- 허용되지 않는 형식/용량 초과 시 업로드 거부 및 안내 문구 표시.
 - 업로드 실패는 재시도 가능하도록 유지."
,,FS-VIDEO-CREATE-04,LLM 기반 스크립트 생성/요약 표시,,,스크립트 생성,"- 업로드 문서를 기반으로 LLM이 교육용 스크립트/요약을 생성한다.
 - 생성된 스크립트를 화면에서 확인할 수 있게 표시한다.","- 업로드 문서ID
 - 스크립트 생성 요청 파라미터(언어, 길이 등)","- LLM 호출 실패 시 “스크립트 생성에 실패했습니다” 안내 및 재시도 버튼 제공.
 - 부분 생성 실패 시 생성된 구간만 우선 표시."
,,FS-VIDEO-CREATE-05,스크립트 수정/저장,,,스크립트 편집,"- 사용자가 생성된 스크립트를 직접 수정할 수 있다.
 - 수정된 스크립트를 저장하면 이후 영상 생성에 해당 버전을 사용한다.","- 사용자 편집 내용(스크립트 텍스트)
 - 스크립트 버전ID","- 저장 실패 시 편집 내용이 날아가지 않도록 클라이언트에 임시 보관하고, 재저장 안내."
,,FS-VIDEO-CREATE-06,영상 생성 요청/큐 등록,,,생성 요청,"- 스크립트와 템플릿(배경, 자막 스타일 등)을 바탕으로 영상 생성 요청을 전송한다.
- 요청은 비동기 큐에 등록되어 백그라운드에서 처리된다.","- 스크립트ID
 - 템플릿/옵션 설정값","- 큐 등록 실패 시 즉시 오류 메시지 표시 및 재요청 버튼 제공.
 - 중복 요청 방지를 위해 동일 스크립트+옵션 조합엔 경고 표시."
,,FS-VIDEO-CREATE-07,영상 생성 상태 조회(대기/진행/완료/실패),,,상태 조회,"- 생성 요청별 상태(대기/진행/완료/실패)를 리스트로 보여준다.
- 자동 새로고침 또는 수동 새로고침 버튼을 제공한다.","- 영상 생성 작업ID
 - 상태 조회 API 응답",- 상태 조회 실패 시 현재 표시된 마지막 상태를 유지하고 토스트 경고만 노출.
,,FS-VIDEO-CREATE-08,실패 작업 재시도/오류 메시지,,,재시도,"- “실패” 상태인 작업은 재시도 버튼을 제공한다.
- 실패 사유(로그 요약)를 함께 표시한다.","- 작업ID
 - 재시도 요청 이벤트",- 연속 실패 횟수가 일정 횟수를 넘으면 재시도 버튼 비활성화 및 관리자 문의 안내.
영상 목록/버전관리,,FS-VIDEO-LIST-01,생성된 영상 목록/버전 관리,,영상 관리,목록/버전,"- 교육별로 생성된 영상 리스트와 버전(예: v1, v2)을 보여준다.
- 대표 영상으로 지정된 버전을 표시한다.",- 교육ID별 영상 메타데이터 목록,"- 데이터 로딩 실패 시 “영상 목록을 불러오지 못했습니다” 안내.
 - 대표 영상이 없으면 기본 대표 없음 상태로 표시."
영상 검토,,FS-VIDEO-REVIEW-01,검토자 영상 리스트 조회,,영상 검토,검토 리스트,"- 화면 진입 시, 서버는 로그인한 검토자의 reviewer_type 및 review_scope를 조회한다.
- 서버는 다음 조건을 만족하는 교육영상만 “검토 대기 목록”으로 반환한다.
 - 상태: status = 'REVIEW_PENDING'
 - 교육 유형:
   - DEPT_REVIEWER → training_type = 'JOB'만
   - GLOBAL_REVIEWER → training_type IN ('MANDATORY', 'JOB')
 - 대상 부서(target_dept_code):
   - DEPT_REVIEWER → target_dept_code IN review_scope
   - GLOBAL_REVIEWER → 정책에 따라 전 부서 또는 지정된 범위
- 프론트는 반환된 목록만 표에 표시하고, 필터 UI에서도 review_scope 밖의 부서는 선택할 수 없게 제한한다.
- 교육명, 버전, 생성일, 상태 등을 함께 표시한다.","- 로그인 사용자 정보: reviewer_type(DEPT_REVIEWER/GLOBAL_REVIEWER), review_scope(부서 목록), dept_code
- 검토 대상 영상 목록 API 응답
- 필터(옵션): 교육 유형, 대상 부서, 생성일, 상태(검토 대기/반려 등)","- REVIEWER 권한 없음 → 접근 차단/권한 없음 메시지.
- review_scope가 비어 있는 경우 → “검토 가능한 교육이 없습니다.” 메시지 및 로그 확인 필요.
- 목록이 없으면 “검토할 영상이 없습니다” UI 문구 표시."
,,FS-VIDEO-REVIEW-02,영상 검토/재생 UI,,,재생/검토,"- 선택한 영상을 재생하고, 자막/스크립트 내용도 함께 확인할 수 있다.
- 문제 구간에 대한 메모 입력 필드를 제공한다.","- 영상 URL
 - 스크립트 텍스트","- 영상 재생 실패 시 다시 시도 버튼과 오류 안내 제공.
 - 스크립트 로딩 실패 시 영상만이라도 재생되도록 처리."
,,FS-VIDEO-REVIEW-03,승인/반려 및 사유 입력,,,승인/반려,"- 검토자는 “승인/반려” 버튼을 통해 결과를 기록할 수 있다.
- 반려 시 반드시 사유를 입력하게 강제한다.","- 영상ID
 - 승인/반려 플래그
 - 반려 사유(텍스트)","- 승인 권한이 없는 사용자가 접근 시 버튼 비활성화 및 안내.
 - 저장 실패 시 사용자에게 재시도 안내."
,,FS-VIDEO-REVIEW-04,대표 영상으로 승격/롤백,,,대표 영상 지정,"- 승인된 영상 중 하나를 해당 교육의 대표 영상으로 지정한다.
- 필요 시 기존 대표 영상으로 롤백할 수 있다.","- 교육ID
 - 선택한 영상ID","- 이미 대표인 영상을 다시 지정하려 할 경우 아무 변화 없이 로그만 남김.
 - 롤백 대상이 없으면 롤백 버튼 비활성화."
챗봇 엔진,,FS-CHAT-ENGINE-01,질문 도메인 분류 호출,챗봇,엔진,도메인 분류,"- 사용자의 질문을 분류 모델/규칙에 전달해 도메인(교육/보안/신고/일반/Out-of-scope)을 판단한다.
- 결과는 로그와 FAQ 분석에 함께 저장한다.","- 질문 텍스트
 - 분류 모델/규칙 테이블","- 분류 실패 시 기본 도메인(일반)으로 처리하고 로그에 기록.
 - Out-of-scope는 별도 태그만 남기고 FAQ 후보에 포함하지 않는다."
,,FS-CHAT-ENGINE-02,RAG 검색/문서 후보 조회,,,RAG 검색,"- 도메인/질문 키워드를 기반으로 관련 문서의 청크를 Vector DB에서 검색한다.
- 상위 k개 후보를 LLM에게 전달할 컨텍스트로 구성한다.","- 질문 텍스트 임베딩
 - Vector DB 검색 결과(문서ID, 청크 내용, 점수)",- 검색 결과가 없으면 “관련 문서를 찾지 못했습니다” 메시지와 함께 일반 모델 응답으로 폴백.
,,FS-CHAT-ENGINE-03,LLM 응답 생성/프롬프트 구성,,,응답 생성,"- 시스템/도메인 프롬프트 + 검색된 문서 컨텍스트 + 사용자 질문으로 LLM 요청을 구성한다.
- 응답을 말풍선 형태로 반환한다.","- 프롬프트 템플릿
 - 검색 컨텍스트
 - 질문 텍스트","- LLM 호출 실패 시 재시도 후, 그래도 실패하면 오류 메시지와 문의 안내 표시."
,,FS-CHAT-ENGINE-04,Out-of-scope 응답 템플릿 처리,,,범위 밖 응답,"- HR/연차 등 범위를 벗어난 질문으로 분류되면 준비된 템플릿 응답을 사용한다.
- 필요 시 해당 기능은 그룹웨어/HR 포털 링크를 안내한다.",- 도메인 분류 결과(Out-of-scope 플래그),- 템플릿 로딩 실패 시 “해당 내용은 이 챗봇 범위 밖입니다” 기본 문구를 사용.
,,FS-CHAT-ENGINE-05,보안/신고 민감 질문 라우팅 제약,,,민감 질문 처리,"- 보안사고/신고 관련 질문은 외부 API로 나가지 않도록 내부 모델/내부 지식만 사용한다.
- 필요 시 신고 페이지 이동을 제안한다.",- 도메인 분류 결과(보안/신고 플래그),- 라우팅 로직 오류 시 안전 쪽(외부 호출 차단)으로 폴백하고 로그 기록.
FAQ/로그 백엔드,,FS-ADMIN-FAQ-API-01,질문 로그 집계/도메인별 통계 API,관리자,FAQ/로그,로그 집계 API,"- 기간/도메인/부서별 질문 수를 집계해 관리자 대시보드에서 사용할 수 있도록 제공한다.
- Out-of-scope 비율도 함께 계산한다.","- 로그 테이블(질문, 도메인, 부서, 시간 등)
 - 집계 기간 파라미터","- 데이터가 없으면 0으로 반환.
 - 집계 오류 시 관리자 대시보드에서 해당 위젯만 오류로 표시."
,,FS-ADMIN-FAQ-API-02,FAQ 후보 자동 선정 배치,,,FAQ 선정 배치,"- 일정 주기(예: 하루 한 번)로 질문 로그를 분석해 FAQ 후보를 점수화한다.
- 도메인별 슬롯 수를 고려해 상위 N개를 선정한다.","- 질문 로그 데이터
 - 도메인별 가중치/슬롯 설정",- 배치 실행 실패 시 이전 결과를 유지하고 알림만 관리자용 로그에 남긴다.
,,FS-ADMIN-FAQ-API-03,FAQ 결과 저장/노출 API,,,FAQ 노출 데이터,"- 선정된 FAQ 후보를 별도 테이블에 저장하고, 새 채팅 화면에서 4개를 조회하는 API로 제공한다.
- 관리자가 수동으로 비활성화한 질문은 제외한다.","- 선정된 FAQ 리스트(질문ID, 점수, 도메인 등)
 - 관리자 수동 설정(활성/비활성 플래그)","- 활성 FAQ가 4개 미만이면 있는 것만 반환.
 - 테이블 손상 시 빈 리스트와 에러 로그를 남기고 프론트는 안내 문구 표시."
문서/RAG 관리,,FS-SYS-RAG-01,문서 업로드 큐 관리,시스템,문서/RAG,업로드 큐,"- 업로드된 교육 문서를 큐에 등록해 전처리/임베딩 작업 순서를 관리한다.
- 상태(대기/진행/완료/실패)를 기록한다.","- 문서 메타데이터(파일명, 형식, 업로드자, 교육ID)",- 큐 등록 실패 시 업로드 화면에 에러 표시 및 재시도 버튼 제공.
,,FS-SYS-RAG-02,문서 전처리(텍스트 추출/클린징),,,전처리,"- 다양한 포맷(PDF/PPT/DOCX/HWP)에서 텍스트를 추출한다.
- 페이지 구분, 불필요한 공백/머리말/꼬리말 제거 등 클린징을 수행한다.","- 업로드 문서 파일
 - 전처리 설정값","- 추출 실패 시 해당 문서를 실패 상태로 표시하고 원인 로그를 남긴다.
 - 부분 추출만 가능한 경우 추출된 범위만이라도 저장."
,,FS-SYS-RAG-03,임베딩 생성 및 Vector DB 저장,,,임베딩/저장,"- 전처리된 텍스트를 청크 단위로 나누고 임베딩을 생성한다.
- 임베딩과 메타데이터(교육ID, 페이지, 섹션)를 Vector DB에 저장한다.","- 전처리 결과 텍스트
 - 임베딩 모델 설정","- 임베딩 실패 시 해당 청크는 건너뛰고 나머지만 저장.
 - Vector DB 쓰기 오류 시 재시도 후 실패 청크를 별도 테이블에 기록."
,,FS-SYS-RAG-04,인덱스 상태 모니터링,,,인덱스 모니터링,"- Vector DB 내 문서 수, 청크 수, 마지막 업데이트 시간, 청크 단위, 유사도 등을 주기적으로 점검한다.
- 이상 징후(과도한 용량, 실패 청크 증가 등)를 관리자 대시보드에 요약 제공할 수 있다.",- Vector DB 메타 정보 API,"- 상태 조회 실패 시 최근 성공 시점 기준으로만 정보 표시.
 - 심각한 오류는 알람 시스템(메일/슬랙 등)과 연동할 수 있도록 확장."
,,FS-SYS-RAG-05,장애 알림/재시도 정책,,,장애 처리,"- 전처리/임베딩/저장 중 반복 실패하는 작업에 대해 재시도 횟수/간격을 설정한다.
- 일정 횟수 이상 실패 시 관리자에게 알림을 보낸다.","- 실패 작업 목록
 - 재시도 설정(최대 횟수, 간격)",- 알림 전송 실패 시 로그에만 남기고 핵심 파이프라인에는 영향이 없도록 분리.
채팅 히스토리 목록,,FS-CHAT-HIST-01,과거 채팅 세션 목록 조회,챗봇,채팅 히스토리,세션 목록,"- 좌측 목록에는 사용자별 최신 30개 세션만 최근 순으로 목록 표시한다
- 세션 제목을 함께 보여준다.","- 사용자ID
 - 페이지/페이지 크기",- 세션이 없으면 “저장된 채팅이 없습니다” 안내 메시지 표시.
,,FS-CHAT-HIST-02,세션 제목 자동 생성/수정,,,세션 제목,"- 첫 질문과 대답 혹은 대표 키워드를 기반으로 자동 세션 제목을 생성한다.
- 사용자가 제목을 직접 수정할 수 있다.","- 첫 질문 텍스트
 - 사용자가 입력한 커스텀 제목","- 자동 생성 실패 시 “제목 없음”으로 표시하고, 사용자가 수정할 수 있도록 한다."
